1 January 2050	 ---> 	 Saturday 1 January 2050
2 January 2050	 ---> 	 Xtraday 2 January 2050
3 January 2050	 ---> 	 Superday 3 January 2050
4 January 2050	 ---> 	 Holyday 4 January 2050
5 January 2050	 ---> 	 Sunday 5 January 2050
6 January 2050	 ---> 	 Monday 6 January 2050
7 January 2050	 ---> 	 Tuesday 7 January 2050
8 January 2050	 ---> 	 Wednesday 8 January 2050
9 January 2050	 ---> 	 Thursday 9 January 2050
10 January 2050	 ---> 	 Friday 10 January 2050
11 January 2050	 ---> 	 Saturday 11 January 2050
12 January 2050	 ---> 	 Xtraday 12 January 2050
13 January 2050	 ---> 	 Superday 13 January 2050
14 January 2050	 ---> 	 Holyday 14 January 2050
15 January 2050	 ---> 	 Sunday 15 January 2050
16 January 2050	 ---> 	 Monday 16 January 2050
17 January 2050	 ---> 	 Tuesday 17 January 2050
18 January 2050	 ---> 	 Wednesday 18 January 2050
19 January 2050	 ---> 	 Thursday 19 January 2050
20 January 2050	 ---> 	 Friday 20 January 2050
21 January 2050	 ---> 	 Saturday 21 January 2050
22 January 2050	 ---> 	 Xtraday 22 January 2050
23 January 2050	 ---> 	 Superday 23 January 2050
24 January 2050	 ---> 	 Holyday 24 January 2050
25 January 2050	 ---> 	 Sunday 25 January 2050
26 January 2050	 ---> 	 Monday 26 January 2050
27 January 2050	 ---> 	 Tuesday 27 January 2050
28 January 2050	 ---> 	 Wednesday 28 January 2050
29 January 2050	 ---> 	 Thursday 29 January 2050
30 January 2050	 ---> 	 Friday 30 January 2050
31 January 2050	 ---> 	 Saturday 31 January 2050
1 February 2050	 ---> 	 Xtraday 32 January 2050
2 February 2050	 ---> 	 Superday 33 January 2050
3 February 2050	 ---> 	 Holyday 34 January 2050
4 February 2050	 ---> 	 Sunday 35 January 2050
5 February 2050	 ---> 	 Monday 36 January 2050
6 February 2050	 ---> 	 Tuesday 1 March 2050
7 February 2050	 ---> 	 Wednesday 2 March 2050
8 February 2050	 ---> 	 Thursday 3 March 2050
9 February 2050	 ---> 	 Friday 4 March 2050
10 February 2050	 ---> 	 Saturday 5 March 2050
11 February 2050	 ---> 	 Xtraday 6 March 2050
12 February 2050	 ---> 	 Superday 7 March 2050
13 February 2050	 ---> 	 Holyday 8 March 2050
14 February 2050	 ---> 	 Sunday 9 March 2050
15 February 2050	 ---> 	 Monday 10 March 2050
16 February 2050	 ---> 	 Tuesday 11 March 2050
17 February 2050	 ---> 	 Wednesday 12 March 2050
18 February 2050	 ---> 	 Thursday 13 March 2050
19 February 2050	 ---> 	 Friday 14 March 2050
20 February 2050	 ---> 	 Saturday 15 March 2050
21 February 2050	 ---> 	 Xtraday 16 March 2050
22 February 2050	 ---> 	 Superday 17 March 2050
23 February 2050	 ---> 	 Holyday 18 March 2050
24 February 2050	 ---> 	 Sunday 19 March 2050
25 February 2050	 ---> 	 Monday 20 March 2050
26 February 2050	 ---> 	 Tuesday 21 March 2050
27 February 2050	 ---> 	 Wednesday 22 March 2050
